城市,名称,链接,户型,面积,朝向,楼层,装修,小区,区域,总价,单价,建成时间,发布时间,关注,其他信息
上海,静安府西区轻奢三房，精装修，高区景观，汶水路地铁,https://sh.lianjia.com/ershoufang/107105838401.html,3室2厅,93.35平米,南 北,高楼层(共30层),精装,静安府西区,大宁, 1200万,"128,549元/平",2019年建,9个月以前发布,95人关注,板楼、VR看装修、房本满两年
上海,一梯两户+小高层+边套南北通+新风地暖+二手买进税少,https://sh.lianjia.com/ershoufang/107107300343.html,2室2厅,98.94平米,南 西 北,中楼层(共12层),精装,盛源家豪城,大宁, 1088万,"109,966元/平",2008年建,1个月以前发布,7人关注,板楼、近地铁、VR看装修、房本满五年
上海,店长力荐＋双南全明户型＋带15平米双天井＋单价低！,https://sh.lianjia.com/ershoufang/107106637319.html,2室1厅,73.07平米,南 北,低楼层(共6层),简装,灵石路896弄,大宁, 458万,"62,680元/平",1994年建,4个月以前发布,18人关注,板楼、VR看装修、房本满五年
上海,金茂物业 三房两厅 楼层好 满五仅一套 空调加地暖,https://sh.lianjia.com/ershoufang/107107141632.html,3室2厅,88.44平米,南 北,中楼层(共33层),精装,明园森林都市涵翠苑,大宁, 978万,"110,584元/平",2013年建,1个月以前发布,28人关注,塔楼、VR看装修、房本满五年
上海,2012年次新+电梯三房+边套全明+一手动迁税费少,https://sh.lianjia.com/ershoufang/107106706817.html,3室1厅,82.29平米,南,中楼层(共21层),精装,大宁龙盛雅苑,大宁, 899万,"109,248元/平",2012年建,3个月以前发布,13人关注,板楼、近地铁、VR看装修、房本满五年
上海,高 区 电梯两房+业主诚意出售+看房方便,https://sh.lianjia.com/ershoufang/107106991553.html,2室2厅,98.44平米,南,高楼层(共18层),精装,歌林春天馨园,大宁, 965万,"98,030元/平",2005年建,2个月以前发布,26人关注,板楼、VR看装修、房本满五年
上海,东边套全明高得房率大4房，中高楼层采光充足，有车位,https://sh.lianjia.com/ershoufang/107107142977.html,4室2厅,164.02平米,南,低楼层(共33层),精装,明园森林都市叠翠苑,大宁, 2100万,"128,034元/平",2019年建,1个月以前发布,9人关注,塔楼、VR看装修、房本满两年
上海,全明户型的高区大三房，诚意出售,https://sh.lianjia.com/ershoufang/107106930009.html,3室2厅,126.03平米,南,高楼层(共24层),简装,明园森林都市滴翠苑,大宁, 1185万,"94,026元/平",2007年建,2个月以前发布,9人关注,板楼、VR看装修、房本满两年
上海,新上好房！满五税少，高区景观房，诚意出售，价格可谈,https://sh.lianjia.com/ershoufang/107106936165.html,3室2厅,121.25平米,东南,中楼层(共34层),精装,明园森林都市滴翠苑,大宁, 1030万,"84,949元/平",2007年建,2个月以前发布,27人关注,板楼、VR看装修、房本满五年
上海,延铁小区 2室1厅 南,https://sh.lianjia.com/ershoufang/107106720148.html,2室1厅,58.08平米,南,高楼层(共6层),简装,延铁小区,大宁, 500万,"86,089元/平",1987年建,3个月以前发布,4人关注,板楼、近地铁、VR房源、房本满两年
上海,店长力荐＋小区花园位置＋南北双阳台＋20号线地铁口,https://sh.lianjia.com/ershoufang/107107059859.html,2室2厅,102.63平米,南 北,高楼层(共6层),精装,嘉茵苑,大宁, 775万,"75,514元/平",1998年建,2个月以前发布,20人关注,板楼、VR看装修、房本满五年
上海,得房率85%，第二排采刺眼，大宁国际板块，一梯两户,https://sh.lianjia.com/ershoufang/107106542275.html,2室2厅,96.35平米,南 北,6层,简装,锦沧公寓,大宁, 760万,"78,880元/平",2000年建,4个月以前发布,39人关注,板楼、近地铁、VR看装修、房本满五年
上海,大宁府系 19年竣工 次新 中环协信旁 2梯2户 有会所,https://sh.lianjia.com/ershoufang/107107290092.html,4室2厅,134平米,南 北,高楼层(共17层) ,精装,静安府西区,大宁, 1838万,"137,165元/平",,1个月以前发布,4人关注,板楼、近地铁、VR看装修、房本满两年
上海,看房随时方便+业主诚心出售+满 五 唯 一,https://sh.lianjia.com/ershoufang/107106665017.html,2室2厅,97.33平米,南,低楼层(共16层),简装,歌林春天馨园,大宁, 969万,"99,559元/平",2004年建,4个月以前发布,18人关注,板楼、VR房源、房本满五年
上海,190平层大四房，新装修，有车位，久光百货、近地铁,https://sh.lianjia.com/ershoufang/107106038288.html,4室2厅,190.9平米,南,低楼层(共30层),精装,宝华现代城,大宁, 2400万,"125,721元/平",2008年建,8个月以前发布,25人关注,板楼、近地铁、VR看装修、房本满五年
上海,俯瞰郁金香公园 满五年唯1 电梯高区 视野采光好,https://sh.lianjia.com/ershoufang/107105493413.html,3室2厅,137.35平米,南 北,高楼层(共18层),精装,望景苑,大宁, 1315万,"95,741元/平",2002年建,11个月以前发布,16人关注,板楼、VR看装修、房本满五年
上海,静安府边套全明，高区无遮，三件套尽收眼底！,https://sh.lianjia.com/ershoufang/107106457668.html,3室2厅,114.65平米,东 南,高楼层(共31层) ,精装,静安府西区,大宁, 1535万,"133,886元/平",,5个月以前发布,60人关注,板楼、近地铁、VR看装修、房本满两年
上海,高区景观房 小区绿化高 满五好房,https://sh.lianjia.com/ershoufang/107107238647.html,2室2厅,88.37平米,南,高楼层(共31层),简装,慧芝湖花园（三期）,大宁, 1080万,"122,214元/平",2011年建,1个月以前发布,8人关注,板楼、近地铁、VR看装修、房本满五年
上海,利用率比较高户型  一梯一户独立门厅 品质社区带会所,https://sh.lianjia.com/ershoufang/107106352461.html,4室2厅,132.74平米,南,中楼层(共17层),精装,静安府西区,大宁, 1830万,"137,864元/平",2020年建,5个月以前发布,24人关注,板楼、VR看装修、房本满两年
上海,静安府东区 央座高区  精装未住人 有车位 诚意出售,https://sh.lianjia.com/ershoufang/107105873614.html,3室2厅,117.14平米,南,高楼层(共26层) ,精装,静安府东区,大宁, 1620万,"138,297元/平",,9个月以前发布,31人关注,板楼、近地铁、VR看装修、房本满两年
上海,可装回四房、科技住宅、横厅设计 、两个产权车位,https://sh.lianjia.com/ershoufang/107107204957.html,4室2厅,202.93平米,南 北,高楼层(共22层),精装,大宁金茂府,大宁, 3650万,"179,865元/平",2019年建,1个月以前发布,13人关注,板楼、VR看装修、房本满两年
上海,满五税少，视野景观好，位置安静，2梯2户，地铁口上盖,https://sh.lianjia.com/ershoufang/107106520192.html,3室2厅,137.81平米,南 北,低楼层(共30层),精装,宝华现代城,大宁, 1760万,"127,713元/平",2008年建,4个月以前发布,12人关注,板楼、近地铁、VR看装修、房本满五年
上海,高区双南两房，大宁成熟配套，拎包入住，高区采光好,https://sh.lianjia.com/ershoufang/107106075284.html,2室2厅,89.5平米,南,高楼层(共24层),简装,悦公馆(永和东路),大宁, 1030万,"115,084元/平",2010年建,7个月以前发布,13人关注,板楼、VR看装修、房本满五年
上海,慧芝湖花园二期小区在售少数的高层，价格适中业主诚意,https://sh.lianjia.com/ershoufang/107106870197.html,2室1厅,89.38平米,南,中楼层(共32层),精装,慧芝湖花园（一二期）,大宁, 1080万,"120,833元/平",2009年建,3个月以前发布,10人关注,板楼、近地铁、VR看装修、房本满五年
上海,满五税少，视野景观好，位置安静，2梯2户，地铁口上盖,https://sh.lianjia.com/ershoufang/107106520192.html,3室2厅,137.81平米,南 北,低楼层(共30层),精装,宝华现代城,大宁, 1760万,"127,713元/平",2008年建,4个月以前发布,12人关注,板楼、近地铁、VR看装修、房本满五年
上海,中区中间 位置采光好，人车分流，一梯一户，精装修,https://sh.lianjia.com/ershoufang/107105884958.html,4室2厅,154.04平米,南,中楼层(共15层) ,精装,海珀星晖,大宁, 2150万,"139,575元/平",,9个月以前发布,27人关注,板楼、VR看装修、房本满两年
上海,一梯两户电梯中区   户型正气  边套有窗  诚意出售,https://sh.lianjia.com/ershoufang/107107231250.html,3室2厅,126.67平米,南 北,中楼层(共11层),精装,歌林春天馨园,大宁, 1320万,"104,208元/平",2002年建,1个月以前发布,7人关注,板楼、VR看装修、房本满五年
上海,慧芝湖高品质舒奢2房  满五唯移税费少  不临街不靠路,https://sh.lianjia.com/ershoufang/107107349646.html,2室2厅,88.42平米,南,低楼层(共28层),精装,慧芝湖花园（一二期）,大宁, 1060万,"119,883元/平",2007年建,31天以前发布,6人关注,板楼、近地铁、VR看装修、房本满五年
上海,高区三房，精装，拎包入住，业主急售,https://sh.lianjia.com/ershoufang/107106900455.html,3室2厅,128.78平米,南,中楼层(共11层),精装,歌林春天馨园,大宁, 1350万,"104,830元/平",2003年建,3个月以前发布,12人关注,板楼、VR看装修、房本满五年
上海,歌林满五三房带电梯，87得房率 飞机户型南北通近公园,https://sh.lianjia.com/ershoufang/107106494338.html,3室2厅,132.82平米,南 北,中楼层(共7层),精装,歌林春天馨园,大宁, 1560万,"117,453元/平",2003年建,4个月以前发布,16人关注,板楼、VR看装修、房本满五年
上海,静安大宁高区景观三室，带车位含税价格,https://sh.lianjia.com/ershoufang/107106247526.html,3室2厅,176.58平米,南 北,高楼层(共33层),精装,明园森林都市涵翠苑,大宁, 1880万,"106,468元/平",2013年建,6个月以前发布,15人关注,塔楼、VR看装修、房本满五年
上海,满五年一套，中间位置一直自己住*2年级诚意出售,https://sh.lianjia.com/ershoufang/107107501645.html,1室0厅,31.39平米,南,低楼层(共6层),简装,洛川中路1100弄,大宁, 269万,"85,697元/平",1983年建,11天以前发布,2人关注,板楼、VR看装修、房本满五年
上海,新上边套一房一厅 非底楼 易爬楼 适合老人接娃自住,https://sh.lianjia.com/ershoufang/107107482167.html,1室1厅,38.17平米,南,低楼层(共6层),简装,延长中路451弄,大宁, 355万,"93,005元/平",1987年建,14天以前发布,3人关注,板楼、近地铁、VR看装修、房本满两年
上海,西边套全明+南北双阳台+满五+近大宁公园,https://sh.lianjia.com/ershoufang/107105778536.html,1室2厅,63.93平米,南,5层,简装,芳沁苑,大宁, 499万,"78,055元/平",2000年建,9个月以前发布,10人关注,板楼、VR房源、房本满五年、随时看房
上海,电梯房 正规客厅 户型好 诚心出售,https://sh.lianjia.com/ershoufang/107106537739.html,1室1厅,45.96平米,南,中楼层(共6层),简装,宁和小区,大宁, 418万,"90,949元/平",1994年建,4个月以前发布,13人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,采光好，小区花园位置，满五税费少，业主急售,https://sh.lianjia.com/ershoufang/107106288702.html,1室1厅,45.49平米,南,高楼层(共6层),简装,宁和小区,大宁, 405万,"89,031元/平",1993年建,6个月以前发布,9人关注,板楼、近地铁、VR房源、房本满五年、随时看房
上海,双南2房，凤凰楼层，采光视野无遮挡，配套齐全。,https://sh.lianjia.com/ershoufang/107107085613.html,2室1厅,50.66平米,南,高楼层(共6层),简装,延长中路451弄,大宁, 420万,"82,906元/平",1987年建,2个月以前发布,6人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,宁和小区：花园位置  非顶楼 楼间距宽广 税少钥匙房,https://sh.lianjia.com/ershoufang/107106876095.html,2室1厅,56.05平米,南 北,高楼层(共6层),精装,宁和小区,大宁, 515万,"91,883元/平",1991年建,3个月以前发布,1人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,满五年  一房  采光好  近地铁  看房方便  诚心出售,https://sh.lianjia.com/ershoufang/107106663586.html,1室1厅,32.24平米,南,中楼层(共5层),精装,广延路42弄,大宁, 240万,"74,442元/平",1978年建,4个月以前发布,2人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,电梯双南两房，公园为伴，二手买进满5唯1，随时看房,https://sh.lianjia.com/ershoufang/107107161218.html,2室1厅,69.17平米,南,中楼层(共6层),简装,广中西路818弄,大宁, 533万,"77,057元/平",1993年建,1个月以前发布,6人关注,板楼、VR看装修、房本满五年、随时看房
上海,满五税低，随时看房，户型方正，停车方便，采光通风好,https://sh.lianjia.com/ershoufang/107106369254.html,1室2厅,74.27平米,南,中楼层(共26层),简装,盛源家豪城,大宁, 798万,"107,446元/平",2008年建,5个月以前发布,19人关注,板楼、VR看装修、房本满五年、随时看房
上海,此房视野开阔 1梯2户 采光好 业主急售 配套齐全,https://sh.lianjia.com/ershoufang/107106977699.html,1室1厅,43.05平米,西南,高楼层(共6层),精装,上大东村,大宁, 235万,"54,588元/平",1993年建,2个月以前发布,59人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,高区电梯房  南北全明  一手动迁税少,https://sh.lianjia.com/ershoufang/107106760930.html,2室1厅,64.94平米,南 北,高楼层(共21层),简装,大宁龙盛雅苑,大宁, 720万,"110,872元/平",2012年建,3个月以前发布,6人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,二手买进满五税少，精装修，采光充足，看房随时方便,https://sh.lianjia.com/ershoufang/107106460779.html,2室2厅,79.86平米,南,高楼层(共6层),精装,绿苑(闸北),大宁, 615万,"77,010元/平",1996年建,5个月以前发布,18人关注,板楼、VR看装修、房本满五年、随时看房
上海,静安大宁+1号线+品质精装双南户型拎包住+安静位置,https://sh.lianjia.com/ershoufang/107106780168.html,2室1厅,46.09平米,南,高楼层(共6层),精装,延长小区(闸北),大宁, 410万,"88,957元/平",1980年建,3个月以前发布,11人关注,板楼、近地铁、VR看装修、房本满两年、随时看房
上海,粤秀苑高区业主诚意出售一居室好房,https://sh.lianjia.com/ershoufang/107107127949.html,1室1厅,41.11平米,南,高楼层(共6层),简装,粤秀苑,大宁, 368万,"89,516元/平",1997年建,2个月以前发布,4人关注,板楼、VR看装修、房本满五年、随时看房
上海,税费少，位置安静，采光好，地铁口，配套齐全。,https://sh.lianjia.com/ershoufang/107106858623.html,2室2厅,99.83平米,南 北,低楼层(共18层),简装,新世纪公寓,大宁, 836万,"83,743元/平",1999年建,3个月以前发布,3人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,【主打就是便宜】静安大宁高楼层电梯一房 欢迎来看房,https://sh.lianjia.com/ershoufang/107104365042.html,1室1厅,58.45平米,西南,高楼层(共28层),简装,粤秀名邸,大宁, 450万,"76,989元/平",2014年建,一年前发布,124人关注,塔楼、VR看装修、房本满五年、随时看房
上海,地铁口小区中间一室户采光无遮挡,https://sh.lianjia.com/ershoufang/107105685341.html,1室1厅,29.9平米,南,高楼层(共6层),简装,延长小区(闸北),大宁, 297万,"99,332元/平",1982年建,10个月以前发布,7人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,满五年  郁金香公园旁 产权清晰 业主诚意出售,https://sh.lianjia.com/ershoufang/107106472700.html,1室1厅,50.67平米,南,低楼层(共6层),简装,广中西路818弄,大宁, 360万,"71,048元/平",1993年建,4个月以前发布,6人关注,板楼、VR看装修、房本满五年、随时看房
上海,本小区总价很低的2房，小区比较少见的全明户型，,https://sh.lianjia.com/ershoufang/107106462696.html,2室1厅,68.83平米,南,高楼层(共7层),简装,粤秀苑,大宁, 428万,"62,183元/平",1997年建,5个月以前发布,28人关注,板楼、VR房源、房本满五年、随时看房
上海,全明户型+交通便利+生活配套完善,https://sh.lianjia.com/ershoufang/107106806121.html,1室1厅,36.75平米,南,低楼层(共5层),简装,广延路42弄,大宁, 268万,"72,926元/平",1978年建,3个月以前发布,3人关注,板楼、近地铁、VR房源、房本满五年、随时看房
上海,有钥匙随时看，满五税少，户型全明，格局方正出行方便,https://sh.lianjia.com/ershoufang/107106677764.html,2室1厅,86.91平米,南,中楼层(共17层),简装,悠和家园,大宁, 899万,"103,441元/平",2006年建,4个月以前发布,21人关注,板楼、近地铁、VR房源、房本满五年、随时看房
上海,满五唯的一 税费少 电梯两房 业主诚意出售,https://sh.lianjia.com/ershoufang/107105686018.html,2室1厅,82.75平米,南,低楼层(共25层),简装,金纺小区,大宁, 620万,"74,925元/平",1998年建,10个月以前发布,14人关注,塔楼、VR看装修、房本满五年、随时看房
上海,慧芝湖三期 南北通小三房 中间楼层不靠马路 有钥匙,https://sh.lianjia.com/ershoufang/107107087327.html,3室2厅,88.7平米,南 北,中楼层(共31层),毛坯,慧芝湖花园（三期）,大宁, 1198万,"135,063元/平",2011年建,2个月以前发布,15人关注,板楼、VR看装修、随时看房
上海,双南全明两房，采光无遮挡，厨卫对外，一梯两户！,https://sh.lianjia.com/ershoufang/107106669427.html,2室1厅,86.21平米,南,高楼层(共6层),简装,八方花苑,大宁, 699万,"81,082元/平",1995年建,4个月以前发布,3人关注,板楼、近地铁、VR房源、随时看房
上海,大宁烫金地段+地铁口300米+精装一房+采光好看房方便,https://sh.lianjia.com/ershoufang/107106687350.html,1室1厅,31.23平米,南,高楼层(共6层),简装,延长中路451弄,大宁, 299万,"95,742元/平",1987年建,4个月以前发布,12人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,房间明亮，双南全明户型，刚需两房,https://sh.lianjia.com/ershoufang/107105659770.html,2室1厅,49.47平米,南,高楼层(共6层),简装,沪太路807弄,大宁, 460万,"92,986元/平",1991年建,10个月以前发布,7人关注,板楼、VR看装修、房本满五年
上海,刚需上车房，南北通户型方正，采光好视野佳,https://sh.lianjia.com/ershoufang/107106123252.html,1室1厅,58.09平米,南,高楼层(共6层),精装,金纺小区,大宁, 405万,"69,720元/平",1996年建,7个月以前发布,9人关注,板楼、VR看装修、房本满五年
上海,满五唯①，精装修，小区中间位置安静,https://sh.lianjia.com/ershoufang/107105572851.html,1室1厅,58.09平米,南,高楼层(共6层),精装,金纺小区,大宁, 420万,"72,302元/平",1996年建,11个月以前发布,10人关注,板楼、VR看装修、房本满五年
上海,近地铁  近商圈   电梯房  楼层佳  位置安静,https://sh.lianjia.com/ershoufang/107106125366.html,2室1厅,52.56平米,东南,低楼层(共7层),简装,宁馨小区,大宁, 475万,"90,373元/平",1992年建,7个月以前发布,7人关注,板楼、近地铁、VR看装修、房本满五年
上海,1号线边套精装修通透两房 带天井 全明,https://sh.lianjia.com/ershoufang/107106789521.html,2室1厅,56.89平米,南,低楼层(共7层),精装,中山北路805弄,大宁, 539万,"94,745元/平",1990年建,3个月以前发布,10人关注,板楼、近地铁、VR房源、房本满五年
上海,1号线地铁300米+大宁繁华地段+精装自住+拎包入住,https://sh.lianjia.com/ershoufang/107105874767.html,2室1厅,49.05平米,南,高楼层(共6层),精装,延长中路451弄,大宁, 420万,"85,627元/平",1986年建,9个月以前发布,29人关注,板楼、近地铁、VR看装修、房本满五年
上海,业主急售 久光旁 一梯两户 精装修,https://sh.lianjia.com/ershoufang/107106952441.html,2室1厅,59.76平米,南,高楼层(共6层),精装,宁和小区,大宁, 510万,"85,342元/平",1992年建,2个月以前发布,12人关注,板楼、近地铁、VR看装修、房本满五年
上海,准电梯双南惊喜两房+得房率高+楼层好+业主给力,https://sh.lianjia.com/ershoufang/107107164751.html,2室1厅,47.6平米,南,高楼层(共6层),简装,洛川中路1100弄,大宁, 359万,"75,421元/平",1985年建,1个月以前发布,6人关注,板楼、VR看装修、房本满五年
上海,大宁新村 南北户型加一个16平天井 优质好房 不容错过,https://sh.lianjia.com/ershoufang/107106619257.html,2室1厅,48.17平米,南,低楼层(共6层),简装,大宁新村,大宁, 370万,"76,812元/平",1986年建,4个月以前发布,7人关注,板楼、近地铁、VR看装修、房本满五年
上海,售后公房满五VV一，双南户型，地铁口交通便利,https://sh.lianjia.com/ershoufang/107106956728.html,2室0厅,51.75平米,南,低楼层(共6层),简装,延铁小区,大宁, 439万,"84,831元/平",1987年建,2个月以前发布,5人关注,板楼、近地铁、VR看装修、房本满五年
上海,婚房精装修，双南，采光充足，配套设施齐全，交通便利,https://sh.lianjia.com/ershoufang/107104876110.html,2室1厅,47.49平米,南,高楼层(共6层),精装,洛川中路1100弄,大宁, 365万,"76,859元/平",1984年建,一年前发布,71人关注,板楼、VR看装修、房本满五年
上海,新出带天井+边套全明自己住皆适合,https://sh.lianjia.com/ershoufang/107106716718.html,1室1厅,30.4平米,南,低楼层(共6层),简装,延长小区(闸北),大宁, 325万,"106,908元/平",1980年建,3个月以前发布,8人关注,板楼、近地铁、VR看装修、房本满五年
上海,总校+一手动迁、满五、税费少、业主诚意出售,https://sh.lianjia.com/ershoufang/107106841534.html,2室1厅,65.2平米,南,低楼层(共24层),简装,大宁龙盛雅苑,大宁, 709万,"108,743元/平",2012年建,3个月以前发布,5人关注,板楼、近地铁、VR看装修、房本满五年
上海,内环地铁口低总价全明两房+中间楼层+精装修+得房率高,https://sh.lianjia.com/ershoufang/107105481954.html,2室1厅,37.05平米,南 北 东 西,中楼层(共7层),精装,中山北路805弄,大宁, 310万,"83,671元/平",1986年建,11个月以前发布,159人关注,板楼、近地铁、VR看装修、房本满两年
上海,好房：少见3房边套全明户型-业主置换-看过的人都说好,https://sh.lianjia.com/ershoufang/107106642101.html,2室1厅,64.35平米,南 北,高楼层(共6层),简装,柳营路1025弄,大宁, 460万,"71,485元/平",1985年建,4个月以前发布,21人关注,板楼、VR看装修、房本满五年
上海,总校+总价低+次新电梯两房+南北通透+税费少,https://sh.lianjia.com/ershoufang/107107179924.html,2室1厅,65.29平米,南 北,低楼层(共21层),简装,大宁龙盛雅苑,大宁, 695万,"106,449元/平",2012年建,1个月以前发布,7人关注,板楼、近地铁、VR看装修、房本满五年
上海,总校+售后公房、满五、税费少、适合居家,https://sh.lianjia.com/ershoufang/107107329890.html,2室1厅,64.15平米,东南 西南,高楼层(共6层),精装,八方花苑,大宁, 520万,"81,061元/平",1991年建,1个月以前发布,7人关注,板楼、近地铁、VR看装修、房本满五年
上海,准电梯房 满5V1 双卧朝南 得房率高 采光充足,https://sh.lianjia.com/ershoufang/107107206117.html,2室1厅,87.62平米,南,高楼层(共7层),简装,八方花苑,大宁, 678万,"77,380元/平",1995年建,1个月以前发布,14人关注,板楼、近地铁、VR看装修、房本满五年
上海,一手动迁+停车充足+地铁在建+南北通格局,https://sh.lianjia.com/ershoufang/107107342355.html,2室2厅,83.8平米,南 北,高楼层(共6层),简装,广中苑,大宁, 695万,"82,936元/平",1999年建,1个月以前发布,4人关注,板楼、VR看装修、房本满五年
上海,一楼带天井实际面积将近50平，改的②房一厅,https://sh.lianjia.com/ershoufang/107105706842.html,2室1厅,38.66平米,南,低楼层(共6层),简装,洛川中路1100弄,大宁, 305万,"78,893元/平",1985年建,10个月以前发布,29人关注,板楼、VR看装修、房本满两年
上海,大宁双南双天井，采光无遮，天井开门进出，婚房装修,https://sh.lianjia.com/ershoufang/107106850847.html,2室1厅,49.65平米,南,低楼层(共6层),精装,谈家桥路80弄,大宁, 420万,"84,593元/平",1990年建,3个月以前发布,10人关注,板楼、VR看装修、房本满五年
上海,90年房龄 一梯三户 双南全明户型  精装修拎包入住,https://sh.lianjia.com/ershoufang/107106958652.html,2室1厅,54.95平米,南,6层,精装,延铁小区,大宁, 450万,"81,893元/平",1990年建,2个月以前发布,29人关注,板楼、近地铁、VR看装修、房本满五年
上海,大宁公园景观房，视野好，采光好双卫生间,https://sh.lianjia.com/ershoufang/107105498377.html,2室2厅,109.37平米,南 西南,高楼层(共25层),简装,东方明珠大宁公寓,大宁, 998万,"91,250元/平",1998年建,11个月以前发布,9人关注,塔楼、近地铁、VR看装修、随时看房
上海,南北通，高区采光好，大宁梦中情房！,https://sh.lianjia.com/ershoufang/107106046707.html,2室2厅,96.8平米,南 北,高楼层(共29层),精装,宝华现代城,大宁, 1268万,"130,992元/平",2008年建,8个月以前发布,29人关注,板楼、近地铁、VR看装修、随时看房
上海,19年次新房 从未居住 高区景观三件套 诚意,https://sh.lianjia.com/ershoufang/107106489573.html,4室2厅,147.55平米,东南,高楼层(共33层),精装,明园森林都市叠翠苑,大宁, 1999万,"135,480元/平",2019年建,4个月以前发布,15人关注,塔楼、VR看装修、随时看房
上海,大宁国际商圈，1号线，顶复上下两层。套内97平，两房,https://sh.lianjia.com/ershoufang/107106539830.html,2室2厅,87.2平米,南,高楼层(共33层),精装,上海滩大宁城(公寓),大宁, 1040万,"119,267元/平",2011年建,4个月以前发布,52人关注,板楼、VR房源、随时看房
上海,从未入住，奢华四房，诚意出售，精装修，中高区,https://sh.lianjia.com/ershoufang/107107145719.html,4室2厅,136.3平米,南 北,中楼层(共17层) ,精装,静安府西区,大宁, 1780万,"130,595元/平",,1个月以前发布,11人关注,板楼、VR看装修、随时看房
上海,市北新房，106平3房中区，产证已交付中介，诚心出售！,https://sh.lianjia.com/ershoufang/107106475571.html,3室2厅,106.22平米,南,高楼层(共18层) ,精装,仁恒静安世纪,大宁, 1328万,"125,024元/平",,4个月以前发布,37人关注,暂无数据、VR看装修、随时看房
上海,延长小区(闸北) 1室1厅 南,https://sh.lianjia.com/ershoufang/107106497996.html,1室1厅,28.17平米,南,低楼层(共6层),简装,延长小区(闸北),大宁, 285万,"101,172元/平",1980年建,4个月以前发布,13人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,07年次新久光百货旁边地铁200米低单价 总价 价格美丽,https://sh.lianjia.com/ershoufang/107106891852.html,1室1厅,42.8平米,南,低楼层(共6层),简装,共和新路2203弄,大宁, 330万,"77,103元/平",2007年建,3个月以前发布,32人关注,板楼、近地铁、VR房源、房本满五年、随时看房
上海,中间楼层，边套全明户型，采光好。,https://sh.lianjia.com/ershoufang/107105256061.html,1室1厅,41.33平米,南,中楼层(共5层),精装,四方小区,大宁, 340万,"82,265元/平",1976年建,一年前发布,15人关注,板楼、近地铁、VR看装修、房本满两年
上海,延长路电梯一房改两房 高区采光视野好 满五税费低,https://sh.lianjia.com/ershoufang/107104656092.html,1室2厅,76.75平米,南,20层,精装,快乐家苑,大宁, 650万,"84,691元/平",1999年建,一年前发布,25人关注,塔楼、近地铁、VR看装修、房本满五年
上海,位置安静，采光无遮挡，满五年精装修,https://sh.lianjia.com/ershoufang/107105473710.html,2室1厅,50.78平米,南,中楼层(共5层),精装,延长小区(闸北),大宁, 495万,"97,480元/平",1981年建,一年前发布,23人关注,板楼、近地铁、VR看装修、房本满五年
上海,中间楼层+婚房装修+南北两房+全明户型+近地铁诚意出售,https://sh.lianjia.com/ershoufang/107106920370.html,2室1厅,52.94平米,南 北,中楼层(共6层),精装,上大东村,大宁, 399万,"75,369元/平",1987年建,2个月以前发布,11人关注,板楼、近地铁、VR看装修、房本满两年
上海,满五年，税少，配套齐全，地铁口品质小区，位置安静,https://sh.lianjia.com/ershoufang/107106365091.html,1室0厅,29.77平米,南,中楼层(共6层),精装,延长小区(闸北),大宁, 325万,"109,171元/平",1980年建,5个月以前发布,9人关注,板楼、近地铁、VR房源、房本满五年
上海,大宁高品质舒适2房+视野采光好+满五唯依税费少+保养佳,https://sh.lianjia.com/ershoufang/107106371266.html,2室2厅,79.62平米,南,中楼层(共32层),精装,上海滩大宁城(公寓),大宁, 939万,"117,936元/平",2012年建,5个月以前发布,44人关注,板楼、VR看装修、房本满五年
上海,电梯房 双南户型 楼层高采光好 精装 可拎包住 诚意卖,https://sh.lianjia.com/ershoufang/107106217068.html,2室1厅,51.24平米,南,高楼层(共6层),精装,延铁小区,大宁, 430万,"83,919元/平",1986年建,7个月以前发布,51人关注,板楼、近地铁、VR看装修、房本满五年
上海,南北通边套全明，看房方便诚意售，另有12平大天井！,https://sh.lianjia.com/ershoufang/107107143121.html,2室0厅,48.8平米,南,低楼层(共6层),精装,洛川中路1100弄,大宁, 369万,"75,615元/平",1985年建,1个月以前发布,3人关注,板楼、VR房源、房本满五年
上海,多3个平方使用面积，业主诚意，钥匙委托，紧靠花园,https://sh.lianjia.com/ershoufang/107106446563.html,1室1厅,45.49平米,南,高楼层(共6层),简装,宁和小区,大宁, 415万,"91,229元/平",1993年建,5个月以前发布,5人关注,板楼、近地铁、VR看装修、房本满五年
上海,南北通透格局，楼层好，视野宽阔，采光充足,https://sh.lianjia.com/ershoufang/107106144215.html,2室1厅,73.04平米,南 北,6层,简装,锦佳苑,大宁, 677万,"92,689元/平",1997年建,7个月以前发布,16人关注,板楼、近地铁、VR看装修、房本满五年
